time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2025-12-26 16:53:08.985 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234508800,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,45,45,11,45, , , , , , , , ,3,4, , ,1, , , , , , , , , , , , , , , , , , , ,188163904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:54:08.986 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234508800,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,188163904, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:55:08.985 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234508800,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,188163904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:56:08.986 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,188163904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:57:08.986 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,188163904,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:58:08.984 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 16:59:08.986 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:00:08.985 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:01:08.984 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:02:08.982 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,0,0,0,0, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:03:08.982 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,190261056,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:04:08.981 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234504704,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,192358208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:05:08.980 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,192358208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:06:08.979 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,2, , ,1, , , , , , , , , , , , , , , , , , , ,192358208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:07:08.978 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,0,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,192358208, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:08:08.977 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,1,1,1,1, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,192358208,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:09:08.976 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,35,35,12,35, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:10:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,34,34,11,34, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:11:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,32,32,11,32, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:12:08.973 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234500608,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,31,31,10,31, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:13:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,30,30,10,30, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:14:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,37,37,12,37, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,194455360, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:15:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,35,35,12,35, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196552512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:16:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,32,32,11,32, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196552512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:17:08.973 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,30,30,10,30, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196552512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:18:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,46,46,15,46, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196552512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:19:08.974 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,35,35,12,35, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,196552512,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:20:08.977 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234496512,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,34,34,12,34, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:21:08.976 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,32,32,11,32, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:22:08.977 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,37,37,12,37, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:23:08.976 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,28,28,9,28, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:24:08.976 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,36,36,12,36, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:25:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,34,34,11,34, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:26:08.976 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,33,33,11,33, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:27:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,32,32,11,32, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,198649664, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:28:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234492416,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,31,31,10,31, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,200746816,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
2025-12-26 17:29:08.975 UTC, , , , , , , , , ,125,3171373,24848,672, ,4, , , , , , , , , , , ,4,4, , , ,1,2,4, , , , , , , , , , , ,1, , , ,3171373,3536,2, ,2363, , , , ,4315,619234488320,43,43,43,43, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4315,1766766908883,,, , , , , , , , , ,3145728,4288,30,30,10,30, , , , , , , , ,3,3, , ,1, , , , , , , , , , , , , , , , , , , ,200746816, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , 
